SrcIP,DstIP,Protocol,SrcPort,DstPort,Length
,,,443,60866,0
,,,60866,443,0
,,,443,60866,0
,,,60170,443,0
,,,443,60170,0
,,,54307,443,0
,,,443,54307,0
,,,443,54307,0
,,,54307,443,0
,,,56845,443,0
